issue,session,year,month,published_date,n_questions,n_published,bulletin_pdf,minutes,video
24,令和5年6月定例会,2023,6,2023-08-15,25,22,https://www.town.shiga-hino.lg.jp/cmsfiles/contents/0000007/7081/hino24web.pdf,https://www.town.shiga-hino.lg.jp/0000007220.html,https://www.town.shiga-hino.lg.jp/soshiki/1-1-0-0-0_11.html
25,令和5年9月定例会,2023,9,2023-11-15,24,21,https://www.town.shiga-hino.lg.jp/cmsfiles/contents/0000007/7081/hino25web.pdf,https://www.town.shiga-hino.lg.jp/0000007383.html,https://www.town.shiga-hino.lg.jp/soshiki/1-1-0-0-0_11.html
26,令和5年12月定例会,2023,12,2024-02-15,28,23,https://www.town.shiga-hino.lg.jp/cmsfiles/contents/0000007/7081/hino26web.pdf,https://www.town.shiga-hino.lg.jp/0000007562.html,https://www.town.shiga-hino.lg.jp/soshiki/1-1-0-0-0_11.html
27,令和6年3月定例会,2024,3,2024-05-15,23,22,https://www.town.shiga-hino.lg.jp/cmsfiles/contents/0000007/7081/hino27web.pdf,https://www.town.shiga-hino.lg.jp/0000007861.html,https://www.town.shiga-hino.lg.jp/soshiki/1-1-0-0-0_11.html
28,令和6年6月定例会,2024,6,2024-08-15,25,20,https://www.town.shiga-hino.lg.jp/cmsfiles/contents/0000007/7081/hino28web.pdf,https://www.town.shiga-hino.lg.jp/0000007924.html,https://www.town.shiga-hino.lg.jp/soshiki/1-1-0-0-0_11.html
29,令和6年9月定例会,2024,9,2024-11-15,30,25,https://www.town.shiga-hino.lg.jp/cmsfiles/contents/0000007/7081/hino29web.pdf,https://www.town.shiga-hino.lg.jp/0000008116.html,https://www.town.shiga-hino.lg.jp/soshiki/1-1-0-0-0_11.html
30,令和6年12月定例会,2024,12,2025-02-15,26,25,https://www.town.shiga-hino.lg.jp/cmsfiles/contents/0000007/7081/hino30web.pdf,https://www.town.shiga-hino.lg.jp/0000008211.html,https://www.town.shiga-hino.lg.jp/soshiki/1-1-0-0-0_11.html
31,令和7年3月定例会,2025,3,2025-05-15,25,24,https://www.town.shiga-hino.lg.jp/cmsfiles/contents/0000007/7081/hino31web.pdf,https://www.town.shiga-hino.lg.jp/0000008397.html,https://www.town.shiga-hino.lg.jp/soshiki/1-1-0-0-0_11.html
32,令和7年6月定例会,2025,6,2025-08-15,29,25,https://www.town.shiga-hino.lg.jp/cmsfiles/contents/0000007/7081/hino32web.pdf,https://www.town.shiga-hino.lg.jp/0000008489.html,https://www.town.shiga-hino.lg.jp/soshiki/1-1-0-0-0_11.html
33,令和7年9月定例会議,2025,9,2025-11-15,24,22,https://www.town.shiga-hino.lg.jp/cmsfiles/contents/0000007/7081/hino33web.pdf,https://www.town.shiga-hino.lg.jp/0000008582.html,https://www.town.shiga-hino.lg.jp/soshiki/1-1-0-0-0_11.html
34,令和7年12月定例会議,2025,12,2026-02-15,21,20,https://www.town.shiga-hino.lg.jp/cmsfiles/contents/0000007/7081/hino34web.pdf,https://www.town.shiga-hino.lg.jp/0000008691.html,https://www.town.shiga-hino.lg.jp/soshiki/1-1-0-0-0_11.html
35,令和8年3月定例会議,2026,3,2026-05-15,23,22,https://www.town.shiga-hino.lg.jp/cmsfiles/contents/0000007/7081/hino35web.pdf,https://www.town.shiga-hino.lg.jp/0000008646.html,https://www.town.shiga-hino.lg.jp/soshiki/1-1-0-0-0_11.html
